Id,Gender,PermanentRecidence_cat,Recidence,CivilStatus_cat,HighestEducationQualification_cat,InterviewedBy,ExtraCurricularActivities,ApparelRelatedVocationalQualification,PreviousJob,ExperiencedSection_cat,RelativesInApparel,SpouseOccupation_cat,FamilyOppinionAboutTheJob,Referel_cat,ExpectationOfDoingTheJob_cat,AvailabilityOfTransportNearTheResidence,RetentionCategory,SelectedDepartment,ReasonForChooseApparel,PreviousWorkPlace,PersonalImpression,ContributionToTheFamilyIncome_cat,Children_cat,ApparelExperience,ReasonForLeaving_cat,Height,Weight,2nd_Month_Gross_Salary,Salary_Category,Salary_Category_2,Salary_Category_3,2nd_Month_Basic_Pay,2nd_Month_OT,2nd Month No Pay Days,2nd Month Incentive,MedicalTest,IQTestScore,ExpectedSalary,FollowingExternalCourses,LastBasicSal_cat,Age_cat,Age(Median),Age_Joined,Is Terminated
1,Female,Yes,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,DifferentCompany,Average,High,NoChildren,TRUE,PersonalIssue,168,51,27513,>27000,9,9,16500,5512.5,0,6110,Passed,80,25000,No,15000to30000,25to30,27,25,No
2,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,DifferentCompany,Average,Low,Unmarried,TRUE,JobIssue,169,48,27513,>27000,9,9,16500,5512.5,0,1940,Passed,70,25000,No,15000to30000,less20,19,19,No
3,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,Other,SamePlant,Average,Low,ChildrenGreaterThan5Yrs,TRUE,Other,176,61,26488.25,26000-27000,8,8,16500,4987.5,0,1890,Passed,0,25000,No,15000to30000,above35,38,35,No
4,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Other,ShortTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,Low,Unmarried,TRUE,Other,165,46,23619.53,23000-24000,5,5,17207,5462.1,1.5,4205,Passed,0,25000,No,15000to30000,20to25,22,24,No
5,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,TRUE,FALSE,NoJob,NoExperience,TRUE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMChecker,Other,NoJob,Average,Low,Unmarried,FALSE,NoJob,172,51,24581.3,24000-25000,6,6,16500,3281.25,0,5610,Passed,100,25000,Yes,NoJob,20to25,22,22,No
6,Female,No,ComingFromHome,Unmarried,UptoOL,Dinuka,FALSE,FALSE,NonApparel,Sewing,TRUE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,DifferentCompany,Average,Low,Unmarried,FALSE,Other,169,50,26287.7,26000-27000,8,8,16500,4987.5,0,9410,Passed,85,25000,No,0to15000,20to25,22,20,No
7,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,CompanyPlant,Average,Low,Unmarried,TRUE,JobIssue,169,50,25369.57,25000-26000,7,7,16500,4068.75,0,2240,Passed,70,18000,No,15000to30000,25to30,27,26,No
8,Female,Yes,ComingFromHome,Married,PassedAL,Dinuka,FALSE,FALSE,Apparel,Other,FALSE,NoJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,High,ChildrenGreaterThan5Yrs,TRUE,PersonalIssue,170,56,26512.6,26000-27000,8,8,16500,5512.5,0,675,Passed,0,25000,No,0to15000,above35,38,37,No
9,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,DifferentCompany,Average,High,ChildrenGreaterThan5Yrs,TRUE,JobIssue,169,46,25988.1,25000-26000,7,7,16500,4987.5,0,1305,Passed,75,25000,No,0to15000,30to35,32,32,No
10,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,NonApparel,Sewing,FALSE,NoJob,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,DifferentCompany,Average,Low,NoChildren,TRUE,JobIssue,169,46,26513.1,26000-27000,8,8,16500,5512.5,0,0,Passed,75,25000,No,0to15000,20to25,22,21,No
11,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,CompanyPlant,Average,High,ChildrenLessThan5Yrs,TRUE,JobIssue,170,50,26512.79,26000-27000,8,8,16500,5512.5,0,1105,Passed,90,25000,No,0to15000,25to30,27,25,No
12,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,169,49,26512.6,26000-27000,8,8,16500,5512.5,0,1920,Passed,75,25000,No,NoJob,less20,19,18,No
13,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,CompanyPlant,Average,High,ChildrenLessThan5Yrs,TRUE,PersonalIssue,169,46,23581.95,23000-24000,5,5,16500,3281.25,0,4130,Passed,100,25000,No,15000to30000,20to25,22,23,No
14,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,ChildrenLessThan5Yrs,FALSE,NoJob,171,52,24462.96,24000-25000,6,6,16500,4462.5,0,4130,Passed,80,25000,No,NoJob,20to25,22,23,No
15,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMChecker,LikeSewing,DifferentCompany,Average,Low,Unmarried,TRUE,JobIssue,170,46,27512.71,>27000,9,9,16500,5512.5,0,1205,Passed,90,25000,No,0to15000,20to25,22,20,No
16,Female,No,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,172,52,21444.5,21000-22000,3,3,16500,1443.75,0,4130,Passed,95,25000,No,NoJob,20to25,22,20,No
17,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,172,41,23413.25,23000-24000,5,5,16500,3412.5,0,4130,Passed,95,25000,No,NoJob,20to25,22,20,No
18,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,176,52,21969.26,21000-22000,3,3,16500,1968.75,0,4130,Passed,70,25000,No,NoJob,less20,19,18,No
19,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,Unmarried,TRUE,NoJob,172,52,26806.08,26000-27000,8,8,17483,5822.15,0,485,Passed,0,28000,No,NoJob,30to35,32,30,No
20,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,DifferentCompany,Average,Moderate,Unmarried,TRUE,Other,163,44,27394.55,>27000,9,9,16500,4462.5,0,4130,Passed,75,25000,No,0to15000,less20,19,18,No
21,Female,No,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,Media,ShortTerm,Yes,C,TMMO,LikeSewing,DifferentCompany,Average,Moderate,ChildrenLessThan5Yrs,TRUE,Other,174,56,27432.05,>27000,9,9,16500,5250,0,1760,Passed,90,25000,No,0to15000,20to25,22,23,No
22,Female,Yes,ComingFromHome,Married,PassedAL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,DifferentCompany,Average,High,ChildrenGreaterThan5Yrs,TRUE,JobIssue,168,49,26644.31,26000-27000,8,8,16500,4462.5,0,4130,Passed,85,25000,No,15000to30000,above35,38,37,No
23,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,Low,Unmarried,TRUE,JobIssue,169,48,26944.91,26000-27000,8,8,16600,5544,0,10770,Passed,0,25000,No,15000to30000,20to25,22,23,No
24,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Moderate,Unmarried,FALSE,NoJob,170,51,27956.72,>27000,9,9,16500,6956.25,0,1905,Passed,90,25000,Yes,NoJob,20to25,22,23,No
